n,aa,n_res,n_samples,xi_exp,xi_exp_R2,xi_exp_saturated,xi_exp_A,xi_exp_c,xi_log,xi_log_R2,xi_log_p,pl_alpha,pl_R2,spearman_r,spearman_p
20,G,20,250,700.7849888381592,0.6955732668676402,False,2.008066885274823,-0.9999999999999999,17.321625395806485,0.433212648710552,0.0021866500022217645,0.008006209189524613,0.4547150358913925,-1.0,0.0
20,K,20,250,237.74253589174356,0.9793808279678047,False,2.010738030262084,-0.9999999999999999,8.944341193220092,0.7673179087716251,8.884424037079924e-07,0.025813937390041966,0.7832052863605147,-1.0,0.0
20,L,20,250,2317.5023541948053,0.9397660331559347,False,2.0028356884328375,-0.9999999927134341,21.305389889070916,0.8774863242877505,3.590379546824575e-09,0.002586983145189704,0.6830841040814265,-0.9982456140350877,2.579846712328762e-22
20,S,20,250,2275.2086886997963,0.9974999731346156,False,1.6493308121516768,-0.648330560935319,22.31747934768391,0.9788001633552877,1.1437157793586815e-15,0.0023075635780064174,0.8369105685320026,-1.0,0.0
21,E,21,250,1102.5837476810564,0.9410853388468478,False,2.0028470709230493,-0.9999999686082558,15.940728044496908,0.8077740018682856,7.309750265987475e-08,0.0057125695332734495,0.7093579150250544,-1.0,0.0
21,G,21,250,675.0180607264415,0.8540843445113594,False,2.0076268987661057,-0.9999999913776543,15.782655288277505,0.6002492399544417,6.049250415359236e-05,0.009003207461923061,0.6015280800237379,-1.0,0.0
21,K,21,250,259.19510040238146,0.9299681559253444,False,2.004498329966642,-0.999999999999997,12.053963641959397,0.5803150891640656,9.509531046860431e-05,0.024524550206331364,0.7300431492210051,-1.0,0.0
21,L,21,250,2709.48966184488,0.9395772859200586,False,2.0025480773213573,-0.9999999976669218,23.804699905184272,0.8823085702247692,8.497941000834495e-10,0.0022986573246935624,0.6793486200577761,-0.9984962406015038,3.713627835952669e-24
21,S,21,250,2482.4233436212294,0.9834094434956621,False,2.0004903586115144,-0.9987919878985955,21.957682057912375,0.9385661387984767,2.3784925200689156e-12,0.0026041455316956363,0.7789971687677202,-1.0,0.0
22,E,22,250,1165.8712827698776,0.9662684393663427,False,2.0025169208102374,-0.9999999999999999,11.007721687153579,0.7558216081953778,3.1217361779819616e-07,0.005747390825010325,0.7588678429717957,-0.9948051948051948,2.546008354897638e-20
22,G,22,250,1316.4343616798385,0.9827984296047834,False,2.0031192311441375,-0.999999994966392,17.07063547765771,0.8979815623309451,7.250091336624302e-11,0.005125726790525644,0.7819611640817467,-1.0,0.0
22,K,22,250,132.30330398393914,0.8272975179082139,False,2.0315855428392386,-0.9999999999999963,12.338317259280053,0.40562211923822283,0.0019047141687825748,0.047123708241497926,0.5902598375230155,-1.0,0.0
22,L,22,250,2190.3614210583733,0.940180450342711,False,2.0032751503555026,-0.9999997296506602,21.366531962746265,0.8725412240052003,6.088297439502287e-10,0.002934801751963875,0.6768984414408947,-0.9987012987012988,4.929526197593013e-26
22,S,22,250,2018.3731426474894,0.9924140770536027,False,2.0019688484321563,-0.9999992722821152,19.404965007312544,0.9560800914616857,2.3493217670311432e-14,0.0033734314338809447,0.802129701324476,-1.0,0.0
23,E,23,250,1186.0887352698628,0.8343771594786875,False,2.001894075647056,-0.9999999025070058,2.1629163222467622,0.2868247213551485,0.010206718236402455,0.00567263070384106,0.6100090041337585,-0.9762845849802373,9.209975146021341e-15
23,G,23,250,877.061027412756,0.88529098001971,False,2.0059236947638293,-0.999999917913321,18.639455449305814,0.6382636291026205,8.25697053816884e-06,0.007653418468232002,0.6453370915826719,-1.0,0.0
23,K,23,250,179.08566236351777,0.9057034028436705,False,2.0273254526837285,-0.9999999999999928,12.198524189869707,0.5386393071160555,0.0001011888438757737,0.03691621145011844,0.6641710139419441,-1.0,0.0
23,L,23,250,2265.9523201272455,0.9403647459093805,False,2.003270736827495,-0.9999999996702045,22.24505373011873,0.8728691316357032,2.0663350464133934e-10,0.00294627141381205,0.6744143844197605,-0.9988706945228685,6.05907136088493e-28
23,S,23,250,2525.168518185958,0.99824898613178,False,1.266658264850143,-0.26607982587489615,30.32942983624355,0.9836847517705003,2.372360388711204e-19,0.0018102443841215721,0.838855897002561,-1.0,0.0
24,E,24,250,1112.351762689539,0.9521417670980752,False,2.004076801009647,-0.9999990892624274,18.864639770539043,0.7897056242460933,1.484968938746931e-08,0.006424966568114728,0.7278591711196603,-1.0,0.0
24,G,24,250,1239.0311099345736,0.9631290860836086,False,2.0042565061188284,-0.9999975255934569,18.465647037896648,0.8410826546125826,7.621455248954102e-10,0.005762331028974359,0.7340201718009283,-1.0,0.0
24,K,24,250,188.1181831316959,0.8972616328540024,False,2.017757822727287,-0.9999999999999987,13.676845709670792,0.4954210416112903,0.0001783774089505523,0.03693065594375159,0.6735234672338564,-1.0,0.0
24,L,24,250,1565.0776607464315,0.9382968082381182,False,2.005078828493362,-0.9999999868913628,19.33859408665955,0.8459765347485533,5.473525169110483e-10,0.004414353775772317,0.6688416576024826,-0.9990118577075099,6.921818204844189e-30
24,S,24,250,2296.5853995176253,0.9959132962654802,False,2.001544993918886,-0.9999998562392061,21.34930060040289,0.9654753909366943,7.815752642482256e-17,0.0032245076042238994,0.8143543667051579,-1.0,0.0
25,E,25,250,781.0808865846774,0.8337737021649009,False,2.00693458831658,-0.9999999948374314,20.96718440643224,0.5341421815741026,4.990099151249033e-05,0.009156410718525285,0.5950519725072698,-0.9999999999999999,1.0880221377787092e-173
25,G,25,250,1028.8503900675714,0.9867994470777351,False,2.004843150939543,-0.9999999999571965,15.86697178262365,0.9011232804501137,1.5576588533676368e-12,0.007299796523070415,0.7753426705526298,-0.9999999999999999,1.0880221377787092e-173
25,K,25,250,185.89533023579338,0.972282205233759,False,2.0139462978671747,-0.9999999999999999,8.647904993740257,0.7727296395876446,1.579687039726521e-08,0.03954163740642672,0.7630214067171368,-0.9999999999999999,1.0880221377787092e-173
25,L,25,250,1300.150386213117,0.938289938477721,False,2.006398548370294,-0.9999999443718389,18.243834373858533,0.8328938909004567,5.186232966073311e-10,0.005498193418308102,0.6661640467727303,-0.9991304347826085,7.374248237784458e-32
25,S,25,250,2223.93231160025,0.9928044218473016,False,2.0018858898787486,-0.9999994424748022,21.944680347677565,0.9527617104119028,4.494132719576079e-16,0.003422457884507677,0.7968803057210398,-0.9999999999999999,1.0880221377787092e-173
26,E,26,250,626.5823638660676,0.7142569366242091,False,2.01276821738238,-0.9999999999999999,22.56472710967783,0.39988980079337805,0.0006948036310926579,0.011212415249922366,0.45928703753095157,-1.0,0.0
26,G,26,250,1428.2725034048296,0.9959510067892078,False,2.002818377475953,-0.9999999999999999,17.25167445553641,0.957960937069982,2.4942135157585738e-17,0.0055667959599831835,0.815251233671283,-1.0,0.0
26,K,26,250,160.2029448313519,0.9961298961114796,False,2.0093627119733166,-0.9999999999999998,9.885045870031744,0.8049821312001184,1.2450888931604198e-09,0.048416514369091876,0.8223577679278876,-1.0,0.0
26,L,26,250,1371.4215324892002,0.9395491952398836,False,2.006256170889032,-0.9999999999999999,18.972343770873195,0.836812952176291,1.5761547694568914e-10,0.005394551145752433,0.6656301701510376,-0.9992307692307693,7.349192018511945e-34
26,S,26,250,1887.6032013771116,0.994368439999819,False,2.0022844715769725,-0.9999998524156201,20.046591162814163,0.9586323439645187,2.0719763283314874e-17,0.004187111322315747,0.8027462329126893,-1.0,0.0
27,E,27,250,1454.5416514617395,0.9914587080286245,False,2.0034443787100993,-0.9999993098474642,18.556925114190417,0.9315601473296234,1.7587165000579244e-15,0.005565054623198724,0.785495313216706,-0.9999999999999999,2.3152321882724258e-189
27,G,27,250,1019.5813790624669,0.9871431515585922,False,2.0054052955058905,-0.9999999999964412,16.288199099717872,0.9017584295640071,1.3661791601649138e-13,0.00786678375498092,0.7704553492908377,-0.9999999999999999,2.3152321882724258e-189
27,K,27,250,165.2442176666971,0.8918296825256549,False,2.0313986580972796,-0.9999999999999999,15.638255552245365,0.4648925545734658,0.00012512814151340206,0.045680446089283254,0.6480959355133622,-0.9999999999999999,2.3152321882724258e-189
27,L,27,250,1409.040532060517,0.9401947477332449,False,2.006338394782109,-0.9999999999999999,19.697385788289296,0.8385951499357052,5.4622611120519404e-11,0.005425222669029971,0.6642548754626093,-0.9993162393162391,6.870897395439228e-36
27,S,27,250,1693.2303033947678,0.9937755182600124,False,2.002685417621596,-0.9999980510356188,19.789552779413572,0.9446397287659254,1.3711448582647395e-16,0.004809587560172767,0.7960458230720657,-0.9999999999999999,2.3152321882724258e-189
28,E,28,250,1183.0678709544547,0.9976175204295606,False,2.0028086950430612,-0.9999990586313949,16.47749729929654,0.9511106341849228,6.666065397056439e-18,0.007197256451080344,0.8208061523047493,-0.9999999999999999,3.3816689247597263e-197
28,G,28,250,229.1532608687,0.6385282183147079,False,2.038834814376934,-0.9999999999999999,21.06470938240888,0.2881153356977391,0.0038939952209177467,0.031517128725509456,0.38903051644640785,-0.9999999999999999,3.3816689247597263e-197
28,K,28,250,37.81032767420505,0.9935913382783935,False,0.3815134553406593,0.6309448789150076,11.538897943783983,0.9089543105209924,1.616225460292562e-14,0.03223082567733484,0.8712003755602271,-0.9999999999999999,3.3816689247597263e-197
28,L,28,250,1303.2740234593168,0.9396275196296021,False,2.007145064966751,-0.9999999999962599,19.72452515358464,0.8303679554804667,4.023564972410425e-11,0.006047727910833264,0.661306085537607,-0.9993894993894993,6.041818838609142e-38
28,S,28,250,1383.257057267918,0.9904720801114838,False,2.003856162842116,-0.9998432504766434,17.838936035073658,0.9364608787535352,1.7775153255794652e-16,0.006027791032520798,0.7803194019928962,-0.9999999999999999,3.3816689247597263e-197
29,E,29,250,1198.0549826590056,0.9927333846114336,False,2.003933428410189,-0.9999996798228302,18.827694668713548,0.9167110954425585,1.497601831603491e-15,0.007225542020832868,0.7921035305738562,-0.9999999999999998,4.0494065550148204e-201
29,G,29,250,1035.8172247784144,0.9931413968191539,False,2.005151259206079,-0.9999999963334157,15.983586534864227,0.9332783150055937,8.310775653968601e-17,0.008343612836509329,0.7912751698224588,-0.9999999999999998,4.0494065550148204e-201
29,K,29,250,194.1387009234453,0.99144406705755,False,2.018109543900317,-0.9999999999999997,12.583940026359684,0.7721842495126522,7.772073903638093e-10,0.043437277128152964,0.7909497172627877,-0.9999999999999998,4.0494065550148204e-201
29,L,29,250,1117.771602879167,0.9392885601927947,False,2.0086580576123723,-0.9999999999999999,19.00040821679861,0.8175798292703944,4.2127065438726263e-11,0.007260833800241892,0.658798550451211,-0.9994526546250683,5.008905023350644e-40
29,S,29,250,1619.862714307947,0.990437422182916,False,2.003263768670288,-0.9999970967258703,20.801810166438237,0.9274879052323041,2.45898179811972e-16,0.005312822022169498,0.7788557680175797,-0.9999999999999998,4.0494065550148204e-201
30,E,30,250,197.322670012217,0.9936860755253828,False,0.5913955501998733,0.4147388177396217,14.961364862041137,0.9440199119227075,1.960273502296681e-18,0.012865494249927572,0.8284733864987098,-0.9999999999999998,8.376948343984638e-209
30,G,30,250,856.5308833676027,0.9768355402130428,False,2.0076154518612124,-0.9999999999999994,17.35614425536324,0.8511994584029661,1.1086657911705947e-12,0.010143712421387037,0.7412923096813342,-0.9999999999999998,8.376948343984638e-209
30,K,30,250,156.11750300036067,0.9745621265424992,False,2.013985441507147,-0.9999999999995207,13.777550675405031,0.6634911545420441,7.55897731222366e-08,0.05513985473836354,0.7740901871657165,-0.9999999999999998,8.376948343984638e-209
